business_id,review_count
Pns2l4eNsfO8kk83dixA6A,7
mpf3x-BjTdTEA3yCZrAYPw,15
tUFrWirKiKi_TAnsVWINQQ,22
MTSW4McQd7CbVtyjqoe9mw,80
mWMc6_wTdE0EUBKIGXDVfA,13
CF33F8-E6oudUQ46HnavjQ,6
n_0UpQx1hsNbnPUSlodU8w,13
qkRM_2X51Yqxk3btlwAQIg,5
k0hlBqXX-Bt0vf1op7Jr1w,19
bBDDEgkFA1Otx9Lfe7BZUQ,10
UJsufbvfyfONHeWdvAHKjA,6
eEOYSgkmpB90uNA7lDOMRA,10
il_Ro8jwPlHresjw9EGmBg,28
jaxMSoInw8Poo3XeMJt8lQ,10
0bPLkL0QhhPO5kt1_EXmNQ,100
MUTTqe8uqyMdBl186RmNeA,245
rBmpy_Y1UbBx8ggHlyb7hA,10
M0XSSHqrASOnhgbWDJIpQA,5
8wGISYjYkE2tSqn3cDMu8A,14
ROeacJQwBeh05Rqg7F6TCg,205
WKMJwqnfZKsAae75RMP6jA,40
qhDdDeI3K4jy2KyzwFN53w,38
kfNv-JZpuN6TVNSO6hHdkw,20
9OG5YkX1g2GReZM0AskizA,339
4iRzR7OaS-QaSXuvYxEGKA,6
PSo_C1Sfa13JHjzVNW6ziQ,15
noByYNtDLQAra9ccqxdfDw,24
tMkwHmWFUEXrC9ZduonpTg,161
QdN72BWoyFypdGJhhI5r7g,65
sqSqqLy0sN8n2IZrAbzidQ,8
fvWn8oXXwbj2l79cochZyw,30
Mjboz24M9NlBeiOJKLEd_Q,41
8sshLb4UU7emeUDvtJWnpA,11
kV_Q1oqis8Qli8dUoGpTyQ,109
w_AMNoI1iG9eay7ncmc67w,12
aPNXGTDkf-4bjhyMBQxqpQ,65
2xVsWBNFwZOxIOdd9Mwnww,20
mGFsPRHdE6SMV1gYQ6GzgQ,6
LcAozWCMLGjwRbokaJAKMg,12
fSCNwMtNNQY9QT69Cj9fiA,7
x1mhq4IpWctQOBM06dU8vg,25
ljxNT9p0y7YMPx0fcNBGig,94
lwItZ1Ck3KtpCgG4CPFmpQ,5
Kq51_lGAgAigqmENITTr-A,13
mglME3E7esPSpIF5bias8w,8
wghnIlMb_i5U46HMBGx9ig,23
JX4tUpd09YFchLBuI43lGw,12
lk9IwjZXqUMqqOhM774DtQ,159
bCBPXIVfVzBZBEpFu29dcg,5
ABxoFuzZy5mqQ8C5FJJajQ,12
Hwt3_mOEmU-t--ywcemnMg,17
REwfwz-_-CMQ7Np5UVi9Qg,7
5BmQX4UVJY19mMtafMg7JA,23
cVBxfMC4lp3DnocjYA3FHQ,20
0qNpTGTcqPwOLi2hADx4Xw,9
xM6LoUcnpDpMBzXs_7dXAg,37
txyXRytGjwOXvS8s4sc-WA,29
DQ7PyYlp2bX96WZa7TcaWQ,8
uI9XODGY_2_ieTE6xJ0myw,23
JgpnXv_0XhV3SfbfB50nxw,35
Si6LXSR9gvAbmgO5DzV2cw,38
seKihQKpGGnCeLuELRQPSQ,257
L_TT0BFmFwORAMaA83K54A,23
mjWvAkNqoA6Y5P03sDSzfA,10
qfWJmJ0g96eM_fWma3ja0g,114
uczmbBk5O3tYhGue13dCDg,38
n7AQvGvNHlmun3kqXeBKVQ,5
eYxGFkxo6m3SYGVTh5m2nQ,8
lOP3HxdUTaq0eXhwR_KC-w,13
KWA2qtdwVEkMpd5soSKaGA,7
gbN4RuUiiBxQ2GBFQ2p3Cw,7
B2qqjCl_BNNnXvWWfpFiLA,13
7PDi_iyik3jraDAzWwwR4Q,111
8rb-3VYXE37IZix4yOdskw,29
9Rww8yE6Dm4dSMEq09nwXg,16
aCDY7vXYMs54EbYuQScsnQ,25
-4dYswJy7SPcbcERvitmIg,34
mFTaYsRDyeFaY2NDLfSaAA,5
x9K0RfZaT_zlw6DklBDzjw,9
pJfh3Ct8iL58NZa8ta-a5w,95
cvP_vh_bOLbCY3eoY1Xw-A,7
7clCBgNbd-x2Wj96lZ6Mjw,139
ppFCk9aQkM338Rgwpl2F5A,56
NZ_bFJma7brQUfln5h1UAg,6
eMjnw_7wp-CscyNh6Lu0ZA,58
IDtLPgUrqorrpqSLdfMhZQ,389
sE6jSnvMts_MAn-b4OkMAw,5
YNjyv0gfOr2g8lbmUpTnKg,350
LhpPSrulqVeTyJeK2xydvQ,6
oaboaRBUgGjbo2kfUIKDLQ,593
-ZXYcCyDjj1QimnJyGtYtg,24
nUqrF-h9S7myCcvNDecOvw,32
vR9_bhoszcpXbB_APv6Xlw,31
RK6-cJ9hj53RzOlCBmpT-g,5
ZM46RDLXaFNo_z6t-j_L4w,5
pEm4xNCk8d0TF6A1gi-WDQ,17
J_ksUDPpzPwfTGtI4zTRnQ,7
